115.67,127.19,133.36,143,243,56,0.69,0.97,1,9,800
116.82,127.35,131.17,171,290,63,0.67,0.95,0.98,9,900
116.72,126.86,132.13,239,353,154,0.65,0.94,0.97,9,1000
115.91,125.86,131.48,271,396,172,0.69,0.87,0.98,9,1100
115.34,126.68,130.91,276,364,163,0.7,0.87,0.99,9,1200
117.03,128.81,132.65,250,378,135,0.7,0.9,1,9,1300
117.61,128.98,132.27,235,350,143,0.62,0.9,1,9,1400
119.25,129.08,133.68,244,370,159,0.59,0.89,0.98,9,1500
119.26,129.81,134.93,236,403,143,0.57,0.93,1,9,1600
119.83,129.42,134.25,224,384,169,0.57,0.91,0.99,9,1700
120.41,129.49,135.08,217,372,142,0.53,0.92,0.99,9,1800
118.65,128.6,134.15,182,309,128,0.58,0.94,1,9,1900
117.03,128.47,133.03,161,291,100,0.65,0.94,1,9,2000
116.72,124.29,131.46,146,186,62,0.71,0.89,0.98,9,2100
115.36,121.89,131.3,107,132,39,0.74,0.95,1,9,2200
110.69,124.35,125.55,96,103,24,0.9,0.87,1,9,2300
113.17,122.18,123.7,69,74,12,0.77,0.93,1,9,2400
114.39,123.82,129.6,66,48,9,0.71,0.85,0.89,9,100
112.01,122.54,134.99,70,28,3,0.86,0.57,1,9,400
111.34,125.68,126.36,63,39,5,0.81,0.74,1,9,500
114.53,125.1,129.6,114,95,23,0.71,0.88,0.91,9,600
113.97,129.05,129.89,115,199,56,0.77,0.95,1,9,700
118.7,128.56,132.69,163,267,68,0.61,0.93,1,9,800
117.35,128.08,132.58,176,312,104,0.62,0.94,1,9,900
118.76,128.61,133.71,257,416,203,0.59,0.92,0.99,9,1000
118.31,127.77,133.44,301,557,257,0.65,0.91,0.99,9,1100
117.26,127.56,133.54,281,559,274,0.65,0.93,1,9,1200
118.52,129.32,132.95,308,520,294,0.61,0.92,1,9,1300
119.94,128.3,135.5,286,590,345,0.59,0.95,1,9,1400
120.12,129.5,133.5,311,643,409,0.54,0.93,1,9,1500
120.79,124.53,135.45,327,626,444,0.49,0.96,0.99,9,1600
119.7,126.64,129.57,344,710,634,0.57,0.96,1,9,1700
118.42,127.12,130.64,359,769,709,0.62,0.96,0.99,9,1800
119.83,117.48,131.87,305,680,548,0.59,0.96,1,9,1900
109.41,120.11,124.32,309,602,482,0.84,0.96,1,9,2000
112.69,121.19,126.38,274,524,386,0.82,0.95,0.99,9,2100
112.59,123.4,127.98,159,295,130,0.76,0.95,0.98,9,2200
115.26,126.67,126.86,139,193,59,0.73,0.96,1,9,2300
117.24,125.5,130.02,97,168,38,0.62,0.98,1,9,2400
112.27,121.76,134.99,71,32,3,0.85,0.75,1,10,100
107.36,119.07,124.21,51,31,3,0.84,0.68,1,10,200
110.45,121.82,116.64,55,20,5,0.85,0.6,1,10,300
113.81,124.34,133.65,79,25,4,0.81,0.56,1,10,400
112.41,127.02,132.84,98,83,10,0.8,0.9,1,10,600
110.11,128.32,131.22,118,139,20,0.77,0.96,0.95,10,700
113.93,128.56,130.7,152,190,45,0.68,0.95,0.98,10,800
117.68,127.95,132.99,174,233,67,0.59,0.95,1,10,900
117.08,125.99,132.35,216,275,101,0.69,0.91,1,10,1000
116.14,126.25,132.78,255,357,139,0.68,0.84,0.97,10,1100
116.4,127.4,132.45,238,330,110,0.7,0.9,0.98,10,1200
115.23,126.93,133.57,212,324,111,0.72,0.86,0.99,10,1300
116.36,122.73,131.28,208,310,106,0.67,0.91,1,10,1400
113.72,124.97,131.16,244,304,117,0.75,0.86,0.99,10,1500
114.74,126.75,129.36,206,283,131,0.7,0.85,0.98,10,1600
116.28,126.94,130.83,180,239,119,0.65,0.92,0.98,10,1700
117.17,128.79,132.66,176,268,111,0.63,0.96,1,10,1800
117.77,125.37,132.5,152,218,68,0.6,0.91,1,10,1900
114.32,128.5,131.66,122,177,55,0.74,0.9,1,10,2000
115.98,129.73,132.37,126,179,42,0.71,0.95,0.98,10,2100
119.33,129.05,133.78,131,247,68,0.54,0.98,1,10,2200
116.35,127.58,135.24,88,148,24,0.67,0.94,1,10,2300
117.58,130.15,136.79,93,57,9,0.68,0.88,1,10,2400
114.73,117.73,134.23,62,29,7,0.74,0.86,1,10,100
108.54,122.23,126.36,40,76,5,0.78,0.53,1,10,200
114.87,122.37,129.6,44,22,3,0.75,0.5,0.67,10,300
110.52,124.09,129.6,101,83,18,0.78,0.86,0.94,10,600
110.29,126.91,130.52,104,153,35,0.75,0.92,1,10,700
116.04,128.29,132.71,129,182,52,0.67,0.97,1,10,800
117.69,126.21,133.05,155,209,61,0.6,0.95,1,10,900
116.19,124.89,131.93,192,263,97,0.67,0.89,0.97,10,1000
115.49,124.55,129.86,280,358,184,0.69,0.83,0.99,10,1100
114.18,124.64,131.32,271,391,161,0.77,0.85,0.99,10,1200
115.8,124.09,129.97,256,297,131,0.74,0.88,1,10,1300
114.18,126.04,130.07,231,324,138,0.76,0.87,1,10,1400
114.99,128.5,131.41,224,337,145,0.74,0.89,0.99,10,1500
117.73,129.94,132.92,240,385,154,0.6,0.88,0.98,10,1600
119.12,130.17,133.36,232,387,148,0.52,0.93,0.98,10,1700
121.97,130.86,134.75,221,437,178,0.46,0.95,1,10,1800
123.3,126.75,135.5,198,462,178,0.37,0.97,1,10,1900
116.28,126.94,130.94,170,324,121,0.64,0.93,0.99,10,2000
115.7,126.42,132.4,148,226,76,0.7,0.92,1,10,2100
114.34,125.37,130.72,104,139,29,0.79,0.89,1,10,2200
115.88,126.59,128.64,98,88,17,0.71,0.92,1,10,2300
116.11,124.4,125.55,72,59,8,0.76,0.9,1,10,2400
114.55,126.57,131.63,70,44,8,0.76,0.82,1,10,100
118.57,123.48,124.21,47,32,3,0.6,0.81,1,10,300
113.87,122.52,137.7,69,38,6,0.83,0.76,1,10,400
115.96,127.88,127.58,76,48,8,0.7,0.79,1,10,500
117.98,126.96,132.45,99,94,17,0.6,0.9,1,10,600
115.05,126.89,130.26,118,178,49,0.73,0.95,1,10,700
117.51,127.28,132.09,130,234,53,0.63,0.95,1,10,800
117.19,127.02,130.17,159,293,86,0.65,0.94,1,10,900
119.04,127.66,131.75,244,427,197,0.58,0.92,1,10,1000
117.73,127.69,132.42,300,468,283,0.64,0.91,1,10,1100
118.78,127.92,131.93,298,544,319,0.58,0.9,1,10,1200
117.11,128.09,132.34,276,518,284,0.63,0.92,1,10,1300
118.45,129.03,132.01,282,569,344,0.62,0.93,0.99,10,1400
120.09,129.54,133.03,201,398,275,0.55,0.95,0.99,10,1500
